count,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13,a_14,a_15,a_16,a_17,a_18,a_19,a_20,a_21,a_22,a_23,a_24
1,-3.00,1.00,1.50,2.00,1.00,2.00,2.00,2.00,1.00,2.00,2.00,1.00,1.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,2.00,2.00,1.00,2.00
1,-5.20,4.00,2.60,2.80,1.40,2.64,1.24,2.48,4.20,1.28,3.00,3.20,1.80,2.00,2.68,3.92,2.52,2.72,3.40,2.56,2.20,2.40,1.00,1.20,3.96,3.80
1,-6.50,3.75,3.25,1.00,3.75,1.50,4.25,2.00,1.50,2.50,2.00,3.00,2.50,3.50,3.00,4.00,3.50,4.50,4.00,5.00,4.50,5.50,5.00,2.75,2.25,2.75
1,-4.00,2.00,2.00,2.00,1.00,2.00,1.00,2.00,1.00,2.00,1.00,2.00,3.00,2.00,1.00,2.00,3.00,2.00,1.00,2.00,3.00,2.00,3.00,2.00,3.00,3.00
1,-6.50,3.13,3.25,3.00,4.75,4.50,4.63,2.75,1.25,1.00,2.75,2.50,4.25,4.00,4.94,5.50,1.56,3.75,2.25,2.00,3.75,3.50,5.25,3.38,1.88,1.75
1,-5.52,3.39,2.76,1.27,3.00,1.52,4.03,2.55,1.91,2.00,4.52,3.03,3.18,2.48,1.06,3.52,4.45,2.97,2.33,4.00,1.00,4.24,3.61,2.12,1.48,2.52
1,-8.67,4.67,4.33,5.00,4.67,5.33,5.00,5.67,1.00,6.00,5.67,2.00,1.67,6.67,2.00,2.67,6.67,3.00,7.00,3.33,3.00,3.67,7.67,4.00,3.67,4.00
1,-3.00,1.00,1.50,1.00,2.00,2.00,1.00,1.00,2.00,2.00,2.00,1.00,2.00,2.00,2.00,1.00,1.00,2.00,1.00,1.00,1.00,2.00,1.00,2.00,2.00,1.00
1,-13.00,5.00,6.50,10.00,5.00,2.00,3.50,7.00,8.50,12.00,7.00,4.00,5.50,9.00,10.50,1.00,2.50,6.00,7.50,11.00,6.00,3.00,4.50,8.00,9.50,8.00
2,-13.00,8.00,6.50,3.00,1.50,11.00,9.50,6.00,4.50,1.00,6.00,9.00,7.50,4.00,2.50,12.00,10.50,7.00,5.50,2.00,7.00,10.00,8.50,5.00,3.50,11.50
2,-13.00,2.00,6.50,4.00,2.00,6.00,4.00,8.00,6.00,10.00,8.00,5.50,10.00,7.50,12.00,3.00,1.00,5.00,3.00,7.00,5.00,9.00,7.00,11.00,9.00,11.00
1,-4.33,2.80,2.17,1.27,1.93,2.33,3.00,1.67,2.33,1.00,1.67,2.93,1.00,1.40,2.93,3.33,1.40,2.67,3.33,2.00,2.67,3.07,2.00,1.53,1.33,2.40
2,-13.00,12.00,6.50,11.00,5.50,10.00,4.50,9.00,3.50,8.00,2.50,7.00,8.00,6.00,7.00,5.00,6.00,4.00,5.00,3.00,10.50,2.00,9.50,1.00,8.50,7.50
1,-4.88,3.88,2.44,2.88,1.44,1.88,1.52,3.04,3.77,2.58,3.31,2.67,3.40,2.21,2.94,2.29,1.94,1.83,1.48,3.00,1.56,2.00,1.10,1.00,3.35,3.44
2,-13.00,8.00,6.50,9.50,8.00,11.00,3.00,6.00,4.50,7.50,6.00,9.00,1.00,4.00,9.00,5.50,4.00,7.00,12.00,2.00,7.00,3.50,8.50,5.00,10.00,5.00
1,-5.20,1.33,2.60,2.67,2.20,4.00,3.53,1.87,1.40,3.20,1.00,2.80,2.33,2.40,3.67,2.00,1.53,3.33,2.87,1.20,4.20,2.53,3.80,3.87,1.67,3.00
1,-6.50,4.00,3.25,1.50,4.00,5.50,1.50,3.00,5.50,3.75,3.00,4.50,3.75,2.00,4.50,2.75,2.00,3.50,2.75,1.00,3.50,5.00,1.00,2.50,5.00,2.50
1,-7.43,4.00,3.71,4.29,2.14,2.71,6.14,4.86,6.43,5.14,3.00,5.43,3.29,2.00,3.57,2.29,3.86,2.57,4.14,4.71,4.43,3.14,1.00,3.43,1.29,5.29
6,-13.00,12.00,6.50,11.00,5.50,10.00,11.00,9.00,10.00,8.00,9.00,7.00,8.00,6.00,7.00,5.00,6.00,4.00,5.00,3.00,4.00,2.00,3.00,1.00,2.00,7.50
1,-6.50,3.50,3.25,3.10,1.55,4.00,3.75,1.00,4.65,4.50,4.25,2.80,1.25,3.70,4.75,2.00,1.75,5.50,5.25,2.50,2.25,3.40,1.85,3.00,2.75,4.95
3,-13.00,2.00,6.50,4.00,8.50,6.00,10.50,8.00,6.00,10.00,8.00,12.00,3.50,1.00,5.50,3.00,7.50,5.00,9.50,7.00,5.00,9.00,7.00,11.00,2.50,4.50
1,-4.33,1.27,2.17,1.67,3.00,2.93,1.67,3.33,2.93,2.00,3.33,1.53,2.00,2.80,1.53,2.33,2.80,1.00,2.33,1.40,1.00,2.67,1.40,3.07,2.67,1.33
1,-13.00,3.00,6.50,6.00,9.50,9.00,6.00,12.00,9.00,2.00,5.50,5.00,8.50,8.00,5.00,11.00,8.00,1.00,4.50,4.00,7.50,7.00,4.00,10.00,7.00,3.50
1,-4.52,1.30,2.26,1.48,3.00,1.65,2.04,2.96,3.35,2.00,3.52,2.17,1.43,2.35,2.74,2.52,1.78,1.57,3.09,2.87,1.00,3.04,1.17,3.22,2.48,1.52
3,-13.00,7.00,6.50,1.00,7.00,8.00,7.50,2.00,8.00,9.00,8.50,3.00,2.50,10.00,9.50,4.00,3.50,11.00,10.50,5.00,4.50,12.00,5.00,6.00,5.50,6.00
1,-5.20,1.00,2.60,2.00,2.30,3.00,3.30,3.35,1.05,3.70,2.05,2.10,1.10,3.10,2.10,1.50,3.10,1.85,4.10,2.20,3.15,3.20,4.15,4.20,1.90,2.90
1,-5.57,3.00,2.79,2.29,3.00,3.43,2.29,4.57,1.57,2.00,2.71,1.29,3.86,4.29,1.29,3.57,4.29,1.00,1.71,2.14,2.86,3.29,4.00,2.57,3.29,2.57
1,-5.20,3.40,2.60,2.90,3.40,2.40,4.20,3.20,3.70,4.00,3.20,2.20,1.40,3.00,2.20,1.20,3.00,2.00,3.80,2.80,2.00,2.30,1.50,1.80,1.00,1.80
1,-6.50,5.00,3.25,3.50,5.00,2.00,3.50,3.75,2.00,5.50,3.75,4.00,5.50,2.50,4.00,1.00,2.50,2.75,1.00,4.50,2.75,3.00,4.50,1.50,3.00,1.50
1,-8.67,6.67,4.33,4.67,5.22,2.67,3.22,6.44,2.67,4.44,5.00,5.33,3.00,3.33,1.00,4.22,7.67,2.22,5.67,6.00,3.67,4.00,6.00,2.00,5.44,3.44
1,-13.00,1.00,6.50,2.00,7.50,3.00,8.50,4.00,9.50,5.00,10.50,6.00,5.00,7.00,6.00,8.00,7.00,9.00,8.00,10.00,2.50,11.00,3.50,12.00,4.50,5.50
1,-4.64,1.93,2.32,2.00,1.00,3.00,2.93,3.07,3.00,3.14,3.07,1.36,1.29,3.29,3.21,1.50,1.43,1.57,3.36,1.64,1.57,2.64,1.64,2.71,1.71,3.64
1,-3.00,2.00,1.50,2.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,2.00,1.00,1.00,2.00,2.00,1.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,2.00
1,-8.67,2.67,4.33,5.33,7.00,5.11,1.00,2.00,3.67,4.67,6.33,7.33,6.11,1.33,3.00,4.00,5.67,6.67,2.56,3.56,2.33,3.33,5.00,6.00,7.67,1.67
1,-4.95,2.95,2.48,1.57,2.33,3.90,1.57,3.14,1.43,2.38,1.29,2.86,3.00,2.10,1.00,2.57,3.95,1.81,1.95,1.05,3.67,3.38,3.52,2.00,3.38,2.62
