count,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13,a_14,a_15,a_16,a_17,a_18,a_19,a_20,a_21,a_22
3,-4.00,2.67,1.00,1.33,1.00,2.00,1.00,2.00,3.00,2.00,3.00,2.00,3.00,2.67,1.00,1.33,1.00,2.00,1.00,2.00,3.00,2.00,3.00,3.00
2,-8.00,4.00,7.00,4.00,7.00,6.00,3.00,6.00,5.00,6.00,5.00,4.00,5.00,4.00,3.00,4.00,3.00,2.00,3.00,2.00,1.00,2.00,5.00,1.00
1,-6.86,4.57,1.29,2.29,5.86,2.57,3.57,3.71,3.86,4.86,5.00,3.43,2.71,2.86,3.00,4.00,4.14,4.29,1.86,2.00,5.57,3.14,3.29,1.00
1,-8.00,5.33,3.00,2.67,5.13,6.00,5.67,3.33,1.00,2.27,6.33,4.00,3.67,4.53,7.00,3.47,4.33,2.00,1.67,5.73,5.00,4.67,2.33,2.87
1,-8.00,5.33,3.00,2.67,3.00,6.00,3.00,6.00,1.00,3.33,5.00,4.00,3.67,4.00,7.00,4.00,4.33,2.00,3.00,4.67,5.00,2.00,5.00,5.00
8,-8.00,2.67,7.00,5.33,7.00,6.00,7.00,6.00,5.00,6.00,5.00,4.00,5.00,4.00,3.00,4.00,3.00,2.00,3.00,2.00,1.00,2.00,1.00,1.00
9,-8.00,2.67,1.00,5.33,1.00,2.00,1.00,2.00,3.00,2.00,3.00,4.00,3.00,4.00,5.00,4.00,5.00,6.00,5.00,6.00,7.00,6.00,7.00,7.00
1,-6.00,4.00,3.75,2.00,1.75,2.70,4.55,3.10,1.65,3.50,3.25,3.00,1.25,1.00,4.35,5.00,4.75,3.30,2.75,2.50,2.25,2.90,1.45,4.25
2,-6.00,4.00,3.75,2.00,4.75,3.00,2.75,2.50,2.25,3.50,1.75,3.00,1.25,1.00,3.75,5.00,4.75,3.00,4.25,2.50,2.25,3.50,3.25,1.25
1,-8.00,4.00,5.00,4.00,1.00,2.00,1.00,2.00,3.00,2.00,3.00,4.00,3.00,4.00,5.00,4.00,5.00,6.00,5.00,6.00,3.00,6.00,7.00,7.00
1,-8.00,2.67,1.00,5.33,3.67,2.00,4.33,4.67,3.00,3.33,5.67,4.00,2.33,6.67,5.00,1.33,5.67,6.00,2.33,4.67,7.00,3.33,3.67,4.33
1,-4.00,2.00,3.00,2.00,1.00,2.00,1.00,2.00,3.00,2.00,3.00,2.00,1.00,2.00,1.00,2.00,3.00,2.00,1.00,2.00,1.00,2.00,3.00,3.00
1,-5.54,2.46,3.00,3.08,1.77,2.31,4.23,2.92,1.62,3.54,4.08,2.77,1.00,1.54,3.92,4.00,4.54,3.23,1.46,2.00,2.54,2.62,1.31,3.77
1,-4.00,1.78,2.83,2.22,1.94,3.00,1.06,2.11,1.83,2.56,2.28,2.00,2.72,1.11,2.17,2.89,1.28,1.00,1.72,1.44,1.17,1.89,2.94,2.06
1,-6.00,4.00,3.00,2.00,4.00,3.00,5.00,4.00,3.00,2.00,1.00,3.00,5.00,4.00,3.00,2.00,1.00,3.00,5.00,4.00,3.00,2.00,1.00,2.00
