count,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13,a_14,a_15,a_16,a_17,a_18,a_19,a_20,a_21,a_22,a_23,a_24,a_25,a_26,a_27,a_28
1,-4.47,1.53,2.23,1.49,3.09,1.74,1.85,2.98,2.43,2.04,2.00,1.38,1.43,3.23,1.47,1.00,3.00,2.94,2.85,2.96,1.62,2.47,2.62,1.23,3.21,1.26,3.47,2.72,1.51,3.04
2,-10.00,8.00,5.00,6.67,5.00,4.67,3.00,3.33,6.00,4.00,6.00,5.00,3.00,8.00,1.00,6.33,9.00,2.00,6.00,7.67,4.00,4.00,7.00,2.00,5.67,4.33,3.67,5.33,2.33,7.00
1,-6.00,4.50,3.00,4.00,1.00,4.00,3.00,2.00,3.00,3.00,4.00,5.00,4.00,2.00,3.00,5.00,3.00,1.50,2.00,2.50,4.00,2.00,3.00,4.00,1.00,5.00,1.00,2.00,3.50,2.00
2,-15.00,12.00,7.50,5.00,5.00,2.00,12.00,10.00,9.00,6.00,6.50,10.00,2.00,7.00,9.00,7.00,6.00,3.00,4.00,14.00,11.00,8.50,3.00,8.00,11.00,4.00,8.00,13.00,1.00,13.00
1,-5.00,3.00,2.50,2.50,2.50,3.00,3.00,2.50,3.50,1.50,1.00,2.50,3.00,3.00,1.00,3.00,4.00,2.00,1.00,3.50,4.00,4.00,2.00,2.00,4.00,1.00,2.00,2.00,1.50,2.00
1,-5.00,2.00,2.50,3.33,1.67,2.00,2.00,1.67,4.00,1.00,4.00,3.33,2.00,2.00,4.00,2.00,1.00,3.00,4.00,2.33,1.00,1.00,3.00,3.00,1.00,4.00,3.00,3.00,2.67,3.00
1,-6.00,2.80,3.00,2.00,5.00,2.80,1.80,4.00,3.60,2.40,4.60,1.00,2.80,2.80,4.60,2.80,1.40,3.20,4.60,4.60,1.40,1.40,4.20,3.20,1.40,4.60,3.20,3.20,1.40,3.20
1,-6.92,4.15,3.46,3.85,5.00,3.38,3.00,3.08,1.38,5.54,2.92,1.92,4.54,4.92,4.85,3.77,2.08,2.77,4.46,4.08,2.46,4.00,3.92,2.00,5.92,1.00,3.15,3.54,2.85,2.38
1,-4.29,3.00,2.14,1.43,1.43,2.29,3.00,2.86,1.71,2.57,1.00,2.86,1.21,1.57,1.71,2.64,2.57,1.29,1.36,3.14,2.93,3.29,1.29,2.71,2.93,1.36,1.64,2.00,1.14,3.07
1,-6.92,5.08,3.46,3.08,1.92,1.23,3.92,3.85,3.23,3.69,4.00,5.00,4.69,2.00,4.38,3.15,2.54,1.85,2.46,2.85,4.46,2.92,3.00,4.92,1.00,5.92,3.77,5.69,4.08,2.23
2,-10.00,6.00,5.00,5.00,5.00,6.00,6.00,5.00,2.00,8.00,2.00,5.00,1.00,6.00,7.00,6.00,3.00,4.00,2.00,7.00,8.00,8.00,4.00,4.00,3.00,7.00,4.00,4.00,3.00,9.00
1,-6.00,4.80,3.00,2.00,5.00,2.00,3.00,4.00,3.60,2.40,2.00,1.00,5.00,4.00,3.00,1.00,3.00,1.20,4.00,5.00,2.00,4.00,3.00,2.00,5.00,1.00,5.00,4.00,1.00,1.00
1,-7.50,1.50,3.75,5.00,3.13,6.50,5.25,2.50,3.00,4.50,4.25,4.38,2.75,4.00,4.88,5.88,2.63,6.00,5.50,4.25,2.00,3.25,2.25,3.50,5.75,1.75,1.63,1.00,3.25,4.75
